Category,place_name,area,open_time,close_time,contact_number,,latitude,longitude,vibe_tags,time_context,amenities,mood_scores
Lifestyle & Culinary,Coromandel Cafe,White Town,08:30,22:30,+91 413 222 1100,,11.9325,79.8335,french_chic|pastel,breakfast,ac|wi_fi|bar,"{""aesthetic"": 10, ""romance"": 9}"
,Cafe des Arts,White Town,09:00,19:00,+91 99944 81914,,11.9333,79.8338,retro|bohemian,morning,garden|library,"{""artistic"": 10, ""vintage"": 9}"
,Bread & Chocolate,Auroville,08:00,17:00,+91 413 262 3778,,12.0016,79.8115,artisanal|vegan,breakfast,parking|bakery,"{""healthy"": 9, ""craft"": 9}"
,Le Cafe,Beach Road,00:00,23:59,+91 413 233 5448,,11.9337,79.8351,waterfront|casual,night,sea view|snacks,"{""views"": 9, ""peace"": 8}"
,Villa Shanti,White Town,12:00,22:30,+91 413 222 3680,,11.9331,79.8332,upscale|courtyard,dinner,valet|fine dining,"{""food"": 10, ""luxury"": 9}"
,Satsanga,White Town,11:30,23:00,+91 413 222 5867,,11.9315,79.8339,garden|fusion,lunch,bar|pet_friendly,"{""social"": 9, ""homey"": 8}"
,Tanto Pizzeria,Auroville,12:30,21:00,+91 413 262 2368,,11.9965,79.8212,authentic|woodfire,,parking|outdoor,"{""rustic"": 9, ""comfort"": 9}"
,Baker Street,Bussy Street,09:00,21:00,+91 413 222 1922,,11.9348,79.8276,french_bakery,,ac|takeaway,"{""taste"": 10, ""energy"": 7}"
,Zuka Choco-la,MG Road,10:00,22:00,+91 413 421 0787,,11.9362,79.8285,chocolate_haven,evening,ac|dessert bar,"{""sweet"": 10, ""joy"": 9}"
,Bay of Buddha,The Promenade,19:00,23:00,+91 413 222 7750,,11.934,79.8352,pan_asian|rooftop,night,bar|sea view,"{""romance"": 10, ""views"": 10}"
,Surguru,Mission Street,07:00,22:30,+91 413 233 9022,,11.9345,79.83,veg|traditional,breakfast,ac|pure veg,"{""busy"": 9, ""local"": 8}"
,Marc's Cafe,Auroville,08:00,20:00,+91 413 262 3119,,11.9982,79.8155,coffee_roaster,,wi_fi|roastery,"{""focus"": 9, ""earthy"": 8}"
Coastal & Nature,Promenade Beach,White Town,00:00,23:59,Public,,11.9338,79.8355,iconic|waterfront,,benches|pavement,"{""energy"": 9, ""social"": 8}"
,Paradise Beach,Chunnambar,09:00,17:00,+91 413 235 6816,,11.8791,79.8166,island_vibe|clean,,ferry|showers,"{""fun"": 9, ""tropical"": 8}"
,Auroville Beach,ECR Road,06:00,18:30,Public,,11.9863,79.8512,local_vibe|waves,,surf schools,"{""raw"": 9, ""surfers"": 8}"
,Serenity Beach,Kottakuppam,06:00,19:00,Public,,11.9688,79.8458,surf_hub|quiet,morning,cafes|surf rental,"{""peace"": 9, ""bohemian"": 8}"
,Eden Beach,Chinna Veerampattinam,06:00,18:00,Public,,11.8876,79.8144,blue_flag|clean,morning,toilets|guards,"{""pristine"": 10, ""safe"": 9}"
,Ousteri Lake,Pathukkannu,09:00,17:30,+91 413 222 0000,,11.9482,79.7437,birdwatching|green,,boating|parking,"{""nature"": 10, ""zen"": 8}"
,Botanical Garden,West Boulevard,09:00,18:00,+91 413 233 9497,,11.9285,79.8215,victorian|lush,,toy train|lab,"{""green"": 9, ""knowledge"": 8}"
,Bharathi Park,White Town,06:30,20:30,Public,,11.9342,79.8338,central_park|heritage,evening,benches|monument,"{""green"": 9, ""relax"": 8}"
,Auroville Forest,Auroville,06:00,18:00,,,12,79.81,jungle|sacred,morning,trails|info kiosk,"{""soul"": 10, ""raw"": 9}"
,Quiet Beach,Auroville Road,06:00,18:00,,,12.005,79.82,healing|secluded,,guesthouses,"{""silence"": 9, ""natural"": 9}"
Spiritual & Religious,Matrimandir,Auroville Center,09:00,16:00,+91 413 262 2239,,12.0068,79.8105,inner_peace|sacred,morning,gardens|boutique,"{""soul"": 10, ""silence"": 10}"
,Sri Aurobindo Ashram,Marine Street,08:00,18:00,+91 413 223 3604,,11.9363,79.8341,meditation|purity,,book store|hall,"{""silence"": 10, ""focus"": 9}"
,Manakula Vinayagar,White Town,05:45,21:30,+91 413 233 6564,,11.9351,79.8329,ganesha|gold_decor,evening,prasad|elephant,"{""devotion"": 9, ""energy"": 9}"
,Sacred Heart Basilica,South Boulevard,06:00,21:00,+91 413 233 4107,,11.9287,79.8273,gothic|historic,,mass|library,"{""artistic"": 10, ""divine"": 9}"
,Immaculate Conception,Mission Street,06:00,12:00,+91 413 233 0380,,11.9352,79.8295,portuguese|white,morning,courtyard,"{""historic"": 9, ""divine"": 8}"
,Varadaraja Perumal,Heritage Town,06:30,21:30,+91 413 233 5440,,11.9392,79.8288,chola_style|vishnu,morning,sacred tank,"{""ancient"": 10, ""ritual"": 9}"
,Panchavati Anjaneya,Tindivanam Road,07:00,20:00,,,11.9955,79.7422,massive_statue|holy,,parking|food hall,"{""grand"": 9, ""power"": 9}"
,Notre Dame des Anges,Dumas Street,06:00,19:00,,,11.933,79.834,pink_facade|french,evening,garden|prayer hall,"{""pastel"": 9, ""serenity"": 8}"
